,,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,,,Site Propane Use,,,,,,,,,,,,,LSC Multipliers,,,Source Energy Multipliers,,,CO2 Emissions Multipliers,,,Elec Demand,Building Wide,
,,,Local Time,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,,PV,Battery,NEM3 LSC,
Mo,Da,Hr,(DST),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),($/kWh),($/MBtu),($/MBtu),(kBtu/kWh),(kBtu/therm),(kBtu/therm),(tonnes CO2-e/kWh),(tonnes CO2-e/therm),(tonnes CO2-e/therm),(frac),(kWh),(kWh),(mult)
1,2,16, 01/02 16,0.0992631,0,0.310016,0,0.0696994,0.597289,0,1.44256,0.967566,0.177901,0,1.07627,3.66429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7661,1269.81,1106.78,4.78592,89.9626,100,0.000253223,0.0060051,0.006288,0,-0.332133,0,2.62534,
1,2,17, 01/02 17,0.075124,0,0.306598,0,0.0700293,0.455926,0,1.62943,3.28145,0.212113,0,0.907677,6.03068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33289,1269.81,1106.78,6.19968,89.9626,100,0.000328025,0.0060051,0.006288,0,-0.021622,0,3.07049,
1,2,18, 01/02 18,0.144356,0,0.316795,0,0.0702766,0.479751,0,1.87574,1.60722,0.301063,0,1.01118,4.7952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.82542,1269.81,1106.78,7.16031,89.9626,100,0.000378852,0.0060051,0.006288,0,0,0,3.45732,
1,2,19, 01/02 19,0.043432,0,0.301999,0,0.0695383,0.505791,0,2.04213,1.56904,0.574758,0,0.920761,5.10669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7605,1269.81,1106.78,8.51113,89.9626,100,0.000450324,0.0060051,0.006288,0.000284725,0,0,4.97713,
1,2,20, 01/02 20,0,0,0.295684,0,0.0706098,0.340727,0,2.14768,1.33608,0.800555,0,0.70702,4.99133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2007,1269.81,1106.78,8.50474,89.9626,100,0.000449986,0.0060051,0.006288,0.00038495,0,0,5.32284,
1,2,21, 01/02 21,0,0,0.295684,0,0.0710671,0.684553,0,2.23908,3.62246,0.773183,0,1.0513,7.68602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3245,1269.81,1106.78,8.48575,89.9626,100,0.000448981,0.0060051,0.006288,0.000461274,0,0,5.42002,
1,2,22, 01/02 22,0.08604,0,0.308283,0,0.0710671,2.20778,0,2.22228,0.556344,0.656865,0,2.67317,6.10867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5875,1269.81,1106.78,8.50291,89.9626,100,0.000449889,0.0060051,0.006288,0.00092845,0,0,6.412,
1,2,23, 01/02 23,0.241586,0,0.331338,0,0.0701547,2.94946,0,1.97035,0.47845,0.431067,0,3.59254,6.47241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.42,1269.81,1106.78,8.49235,89.9626,100,0.00044933,0.0060051,0.006288,0.00129511,0,0,7.0658,
1,2,24, 01/02 24,0.409248,0,0.356583,0,0.0684849,1.04268,0,1.68828,0.428658,0.266851,0,1.877,4.26078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3355,1269.81,1106.78,8.49617,89.9626,100,0.000449532,0.0060051,0.006288,0.00200438,0,0,8.57027,
1,3,1, 01/03 01,0.543081,0,0.376286,0,0.0666566,0.292318,0,1.36184,0.410563,0.157374,0,1.27834,3.20812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.2566,1269.81,1106.78,8.66731,89.9626,100,0.000458588,0.0060051,0.006288,0.00315686,0,0,12.4352,
